map,x,y,z
Prison,1601,3219,769
Prison,-2098,-809,574
Prison,418,722,363
Prison,160,-178,245
Prison,2374,3527,865
Prison,715,1167,272
Prison,781,858,328
Prison,2328,392,434
Prison,1286,2788,474
Prison,-1611,758,756
Prison,1541,2302,646
Prison,-2878,-1027,240
Prison,2273,1370,278
Prison,-9,2624,692
Prison,-6300,800,250
Prison,-2327,2234,852
Prison,-1295,-1756,820
Prison,-1604,952,644
Prison,-1233,870,638
Prison,-265,1020,568
Prison,-490,162,681
Prison,985,2903,350
Prison,2107,-178,459
Prison,437,-1351,262
Prison,-1745,645,447
Prison,-90,-12,445
Prison,757,-1382,304
Prison,-7,-74,335
Prison,1064,-227,669
Prison,-950,950,624
Prison,-1496,1689,758
Prison,316,-724,178
Prison,673,-332,595
Prison,194,-168,844
Prison,-1891,-572,635
Prison,3512,2270,228
Prison,-1312,28,811
Prison,-1592,328,522
Prison,-1685,1951,354
Prison,-2198,1115,329
Prison,283,1243,379
Prison,-1398,600,575
Outpost,2787,334,1936
Outpost,-1406,-1819,839
Outpost,509,-3647,1835
Outpost,-562,-1213,788
Outpost,1943,-444,2918
Outpost,1801,1514,2061
Outpost,835,229,798
Outpost,-72,-1378,1227
Outpost,1081,-2535,860
Outpost,1069,-3129,330
Outpost,935,-3853,445
Outpost,2204,-360,762
Outpost,-1131,-1523,1065
Outpost,-1137,-1023,918
Outpost,-1334,-1673,956
Outpost,-465,602,542
Outpost,21802,1150,1098
Outpost,1805,875,16
Outpost,1772,194,1679
Outpost,-669,-1181,952
Outpost,79,-553,1049
Outpost,-472,-2023,429
Outpost,839,-367,1072
Outpost,-1520,663,1469
Outpost,-4976,-271,1590
Outpost,-2287,-807,1842
Outpost,-3383,-1121,1892
Outpost,-497,184,1669
Outpost,-1184,-839,427
Outpost,2399,-1398,522
Outpost,-800,232,1227
Outpost,-2929,845,1985
Outpost,-1654,-2175,2059
Outpost,-2144,-1541,1991
Outpost,-579,-3064,1966
Outpost,850,-443,2562
Outpost,1498,1095,2508
Outpost,-1361,-1751,1744
Outpost,399,-2111,561
Outpost,-863,-4825,590
Outpost,-3505,-3682,875
Outpost,888,63,762
Outpost,2356,183,2684
Outpost,-482,108,879
Outpost,2880,-1236,898
Outpost,-1306,-616,1532
Outpost,-2310,-3122,1665
Outpost,1435,-1778,1670
Outpost,-2501,-638,1885
Outpost,97,-65,2253
Outpost,-1856,-685,1971
Outpost,934,-961,1678
Outpost,-2065,-2657,1629
Outpost,2917,-1073,497
Outpost,-4456,-262,2263
Outpost,1072,495,899
Outpost,1827,-893,1228
Outpost,3252,-1393,1596
Outpost,-1054,107,2638
Outpost,-265,-2039,1536
Outpost,1660,-1660,2262
Outpost,-1452,-139,1203
Outpost,-1500,518,1009
Outpost,1339,-778,2013
Outpost,4602,-2158,-296
